Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23014","Food price inflation","7007","July","%","4.705319","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23014","Food price inflation","7007","July","%","12.706463","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23014","Food price inflation","7007","July","%","1.241713","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2001","2001","23014","Food price inflation","7008","August","%","2.519301","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2002","2002","23014","Food price inflation","7008","August","%","20.796869","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2003","2003","23014","Food price inflation","7008","August","%","12.015926","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2004","2004","23014","Food price inflation","7008","August","%","14.575131","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2005","2005","23014","Food price inflation","7008","August","%","13.860134","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2006","2006","23014","Food price inflation","7008","August","%","5.533717","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2007","2007","23014","Food price inflation","7008","August","%","12.737165","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2008","2008","23014","Food price inflation","7008","August","%","50.992352","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2009","2009","23014","Food price inflation","7008","August","%","-21.005404","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23014","Food price inflation","7008","August","%","4.113038","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2011","2011","23014","Food price inflation","7008","August","%","9.344366","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2012","2012","23014","Food price inflation","7008","August","%","2.391246","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2013","2013","23014","Food price inflation","7008","August","%","9.98897","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2014","2014","23014","Food price inflation","7008","August","%","7.109336","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23014","Food price inflation","7008","August","%","-2.769992","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23014","Food price inflation","7008","August","%","7.896962","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23014","Food price inflation","7008","August","%","5.862761","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23014","Food price inflation","7008","August","%","-2.546416","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23014","Food price inflation","7008","August","%","5.282653","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23014","Food price inflation","7008","August","%","10.896275","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2021","2021","23014","Food price inflation","7008","August","%","2.369247","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2001","2001","23014","Food price inflation","7009","September","%","0.789062","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2002","2002","23014","Food price inflation","7009","September","%","20.078144","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2003","2003","23014","Food price inflation","7009","September","%","4.93122","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2004","2004","23014","Food price inflation","7009","September","%","20.990753","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2005","2005","23014","Food price inflation","7009","September","%","12.232848","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2006","2006","23014","Food price inflation","7009","September","%","5.032492","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2007","2007","23014","Food price inflation","7009","September","%","15.504637","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2008","2008","23014","Food price inflation","7009","September","%","48.150504","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2009","2009","23014","Food price inflation","7009","September","%","-21.504898","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2010","2010","23014","Food price inflation","7009","September","%","4.833176","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2011","2011","23014","Food price inflation","7009","September","%","6.506183","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2012","2012","23014","Food price inflation","7009","September","%","3.486407","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2013","2013","23014","Food price inflation","7009","September","%","9.096802","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2014","2014","23014","Food price inflation","7009","September","%","6.818086","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2015","2015","23014","Food price inflation","7009","September","%","-0.426525","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2016","2016","23014","Food price inflation","7009","September","%","7.011259","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2017","2017","23014","Food price inflation","7009","September","%","5.37764","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2018","2018","23014","Food price inflation","7009","September","%","-1.927739","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2019","2019","23014","Food price inflation","7009","September","%","4.133009","Fc","Calculated data",""
"CP","Consumer Price Indices","004","Afghanistan","2020","2020","23014","Food price inflation","7009","September","%","9.405179","Fc","Calculated data",""
